Región	N° de comunas	Ranking	IDC	Tramo IDC
Arica y Parinacota	1	1	0,572	Alto
Magallanes	3	2	0,56	Alto
Metropolitana	52	3	0,538	Medio-alto
Valparaíso	36	4	0,533	Medio-alto
Biobío	4	5	0,516	Medio-alto
Tarapacá	5	6	0,516	Medio-alto
Aysén	13	7	0,509	Medio-bajo
Coquimbo	31	8	0,507	Medio-bajo
Los Ríos	12	9	0,504	Medio-bajo
Antofagasta	7	10	0,502	Medio-bajo
La Araucanía	30	11	0,497	Medio-bajo
O'Higgins	29	12	0,495	Medio-bajo
Maule	27	13	0,487	Medio-bajo
Ñuble	19	14	0,475	Medio-bajo
Los Lagos	25	15	0,468	Medio-bajo
Atacama	7	16	0,459	Medio-bajo