anio	comuna	codigo_comuna	region	id_region	habitantes	indice_de_desarrollo_humano	indice_pobreza_multidimensional	v	v_ranking	v_cat	v1	v1_cat	v3	v3_cat	v2	v2_cat	v_gauge	v1_gauge	v2_gauge	v3_gauge
2024	Retiro	07405	Maule	7	21397	0.474	0.189	0.418	270	BAJO	0.374	BAJO	0.476	MEDIO BAJO	0.403	BAJO	0.105	0.083	0.175	0.393
2024	San Javier	07406	Maule	7	50985	0.556	0.155	0.513	144	MEDIO ALTO	0.429	MEDIO BAJO	0.666	ALTO	0.446	MEDIO BAJO	0.53	0.302	0.346	0.961
2024	Villa Alegre	07407	Maule	7	17913	0.574	0.133	0.348	300	BAJO	0.415	MEDIO BAJO	0.09	BAJO	0.538	MEDIO ALTO	0.007	0.256	0.674	0.003
2024	Yerbas Buenas	07408	Maule	7	19658	0.523	0.167	0.452	240	BAJO	0.385	BAJO	0.459	MEDIO BAJO	0.512	MEDIO ALTO	0.214	0.132	0.59	0.3
2024	Concepción	08101	Biobío	8	239443	0.719	0.115	0.627	7	ALTO	0.7	ALTO	0.539	MEDIO ALTO	0.642	ALTO	0.98	0.971	0.892	0.647
2024	Coronel	08102	Biobío	8	128253	0.609	0.136	0.559	70	ALTO	0.658	ALTO	0.484	MEDIO BAJO	0.536	MEDIO ALTO	0.773	0.945	0.654	0.42
2024	Chiguayante	08103	Biobío	8	91805	0.711	0.109	0.607	16	ALTO	0.657	ALTO	0.583	ALTO	0.581	ALTO	0.953	0.939	0.791	0.844
2024	Florida	08104	Biobío	8	11868	0.561	0.274	0.457	226	BAJO	0.423	MEDIO BAJO	0.507	MEDIO BAJO	0.44	MEDIO BAJO	0.25	0.282	0.334	0.5
2024	Hualqui	08105	Biobío	8	26632	0.56	0.209	0.495	172	MEDIO BAJO	0.581	ALTO	0.439	BAJO	0.467	MEDIO BAJO	0.433	0.779	0.43	0.234
2024	Lota	08106	Biobío	8	45490	0.569	0.175	0.494	173	MEDIO BAJO	0.617	ALTO	0.529	MEDIO ALTO	0.337	BAJO	0.427	0.869	0.023	0.613
2024	Penco	08107	Biobío	8	50125	0.633	0.115	0.565	59	ALTO	0.632	ALTO	0.561	MEDIO ALTO	0.501	MEDIO ALTO	0.81	0.904	0.552	0.747
2024	San Pedro de la Paz	08108	Biobío	8	151833	0.723	0.095	0.601	19	ALTO	0.683	ALTO	0.531	MEDIO ALTO	0.589	ALTO	0.94	0.953	0.805	0.623
2024	Santa Juana	08109	Biobío	8	14870	0.558	0.193	0.489	181	MEDIO BAJO	0.496	MEDIO ALTO	0.587	ALTO	0.385	BAJO	0.407	0.517	0.121	0.857
2024	Talcahuano	08110	Biobío	8	158222	0.674	0.106	0.594	27	ALTO	0.701	ALTO	0.491	MEDIO BAJO	0.589	ALTO	0.923	0.974	0.805	0.44
2024	Tomé	08111	Biobío	8	59069	0.608	0.153	0.572	50	ALTO	0.627	ALTO	0.571	ALTO	0.517	MEDIO ALTO	0.847	0.89	0.596	0.782
2024	Hualpén	08112	Biobío	8	97902	0.668	0.097	0.576	41	ALTO	0.548	MEDIO ALTO	0.581	ALTO	0.599	ALTO	0.87	0.677	0.826	0.834
2024	Lebu	08201	Biobío	8	27146	0.54	0.264	0.528	128	MEDIO ALTO	0.574	MEDIO ALTO	0.581	ALTO	0.43	MEDIO BAJO	0.58	0.747	0.282	0.834
2024	Arauco	08202	Biobío	8	38890	0.61	0.171	0.499	162	MEDIO BAJO	0.563	MEDIO ALTO	0.541	MEDIO ALTO	0.393	BAJO	0.463	0.715	0.132	0.658
2024	Cañete	08203	Biobío	8	37349	0.503	0.273	0.543	98	MEDIO ALTO	0.487	MEDIO BAJO	0.596	ALTO	0.546	MEDIO ALTO	0.677	0.483	0.692	0.883
2024	Contulmo	08204	Biobío	8	6351	0.504	0.233	0.527	130	MEDIO ALTO	0.515	MEDIO ALTO	0.645	ALTO	0.422	BAJO	0.573	0.59	0.244	0.942
2024	Curanilahue	08205	Biobío	8	33938	0.577	0.198	0.551	81	MEDIO ALTO	0.588	ALTO	0.565	ALTO	0.501	MEDIO ALTO	0.733	0.808	0.552	0.763
2024	Los Alamos	08206	Biobío	8	22856	0.519	0.195	0.539	105	MEDIO ALTO	0.572	MEDIO ALTO	0.553	MEDIO ALTO	0.493	MEDIO ALTO	0.657	0.733	0.529	0.723
2024	Tirúa	08207	Biobío	8	11088	0.356	0.341	0.346	301	BAJO	0.356	BAJO	0.272	BAJO	0.409	BAJO	0.003	0.029	0.178	0.016
2024	Los Angeles	08301	Biobío	8	222593	0.64	0.141	0.599	21	ALTO	0.563	MEDIO ALTO	0.584	ALTO	0.65	ALTO	0.937	0.715	0.913	0.847
2024	Antuco	08302	Biobío	8	4322	0.561	0.136	0.507	156	MEDIO BAJO	0.358	BAJO	0.714	ALTO	0.448	MEDIO BAJO	0.483	0.04	0.369	0.981
2024	Cabrero	08303	Biobío	8	31023	0.569	0.17	0.446	249	BAJO	0.523	MEDIO ALTO	0.373	BAJO	0.44	MEDIO BAJO	0.174	0.613	0.334	0.105
2024	Laja	08304	Biobío	8	23913	0.616	0.163	0.479	197	MEDIO BAJO	0.526	MEDIO ALTO	0.474	MEDIO BAJO	0.438	MEDIO BAJO	0.36	0.622	0.323	0.38
2024	Mulchén	08305	Biobío	8	31109	0.553	0.225	0.539	106	MEDIO ALTO	0.515	MEDIO ALTO	0.556	MEDIO ALTO	0.546	MEDIO ALTO	0.657	0.59	0.692	0.733
2024	Nacimiento	08306	Biobío	8	28016	0.616	0.119	0.547	86	MEDIO ALTO	0.559	MEDIO ALTO	0.574	ALTO	0.509	MEDIO ALTO	0.72	0.709	0.578	0.808
2024	Negrete	08307	Biobío	8	10539	0.572	0.148	0.461	219	MEDIO BAJO	0.4	BAJO	0.527	MEDIO ALTO	0.456	MEDIO BAJO	0.273	0.195	0.39	0.61
2024	Quilaco	08308	Biobío	8	4187	0.549	0.179	NA	NA	NA	0.453	MEDIO BAJO	NA	NA	0.366	BAJO	NA	0.381	0.08	NA
2024	Quilleco	08309	Biobío	8	10000	0.535	0.18	0.452	241	BAJO	0.356	BAJO	0.532	MEDIO ALTO	0.467	MEDIO BAJO	0.214	0.029	0.43	0.63
2024	San Rosendo	08310	Biobío	8	3565	0.616	0.144	NA	NA	NA	0.519	MEDIO ALTO	NA	NA	0.385	BAJO	NA	0.602	0.121	NA
2024	Santa Bárbara	08311	Biobío	8	14657	0.547	0.18	0.532	123	MEDIO ALTO	0.461	MEDIO BAJO	0.56	MEDIO ALTO	0.573	ALTO	0.6	0.413	0.776	0.743
2024	Tucapel	08312	Biobío	8	15379	0.582	0.152	0.44	259	BAJO	0.548	MEDIO ALTO	0.342	BAJO	0.43	MEDIO BAJO	0.145	0.677	0.282	0.066
2024	Yumbel	08313	Biobío	8	22194	0.539	0.161	0.47	213	MEDIO BAJO	0.489	MEDIO BAJO	0.466	MEDIO BAJO	0.456	MEDIO BAJO	0.297	0.494	0.39	0.343
2024	Alto Biobío	08314	Biobío	8	6803	0.298	0.389	0.367	296	BAJO	0.365	BAJO	0.287	BAJO	0.448	MEDIO BAJO	0.02	0.063	0.369	0.026
2024	Temuco	09101	La Araucanía	9	308175	0.687	0.139	0.638	4	ALTO	0.658	ALTO	0.502	MEDIO BAJO	0.753	ALTO	0.99	0.945	0.991	0.483
2024	Carahue	09102	La Araucanía	9	25514	0.438	0.304	0.439	261	BAJO	0.409	BAJO	0.489	MEDIO BAJO	0.419	BAJO	0.138	0.227	0.221	0.433
2024	Cunco	09103	La Araucanía	9	18067	0.477	0.18	0.544	97	MEDIO ALTO	0.472	MEDIO BAJO	0.73	ALTO	0.43	MEDIO BAJO	0.69	0.448	0.282	0.987
2024	Curarrehue	09104	La Araucanía	9	7860	0.345	0.231	0.454	231	BAJO	0.376	BAJO	0.508	MEDIO ALTO	0.477	MEDIO BAJO	0.237	0.106	0.474	0.507
2024	Freire	09105	La Araucanía	9	25487	0.491	0.25	0.446	250	BAJO	0.425	MEDIO BAJO	0.437	BAJO	0.475	MEDIO BAJO	0.174	0.291	0.471	0.217
2024	Galvarino	09106	La Araucanía	9	12588	0.405	0.399	0.496	170	MEDIO BAJO	0.4	BAJO	0.665	ALTO	0.422	BAJO	0.443	0.195	0.244	0.958
2024	Gorbea	09107	La Araucanía	9	15098	0.524	0.198	0.508	155	MEDIO BAJO	0.457	MEDIO BAJO	0.493	MEDIO BAJO	0.576	ALTO	0.487	0.395	0.785	0.447
2024	Lautaro	09108	La Araucanía	9	41624	0.547	0.195	0.578	39	ALTO	0.541	MEDIO ALTO	0.564	ALTO	0.629	ALTO	0.873	0.651	0.887	0.76
2024	Loncoche	09109	La Araucanía	9	24784	0.516	0.157	0.524	134	MEDIO ALTO	0.528	MEDIO ALTO	0.553	MEDIO ALTO	0.491	MEDIO ALTO	0.56	0.628	0.503	0.723
2024	Melipeuco	09110	La Araucanía	9	6309	0.44	0.176	0.447	248	BAJO	0.362	BAJO	0.542	MEDIO ALTO	0.438	MEDIO BAJO	0.181	0.052	0.323	0.664
2024	Nueva Imperial	09111	La Araucanía	9	34077	0.486	0.236	0.493	176	MEDIO BAJO	0.468	MEDIO BAJO	0.492	MEDIO BAJO	0.52	MEDIO ALTO	0.423	0.439	0.619	0.443
2024	Padre Las Casas	09112	La Araucanía	9	84619	0.531	0.198	0.512	146	MEDIO ALTO	0.452	MEDIO BAJO	0.511	MEDIO ALTO	0.573	ALTO	0.52	0.375	0.776	0.534
2024	Perquenco	09113	La Araucanía	9	7262	0.47	0.232	0.482	190	MEDIO BAJO	0.45	MEDIO BAJO	0.511	MEDIO ALTO	0.483	MEDIO BAJO	0.377	0.36	0.494	0.534
2024	Pitrufquén	09114	La Araucanía	9	26499	0.537	0.175	0.574	44	ALTO	0.545	MEDIO ALTO	0.552	MEDIO ALTO	0.626	ALTO	0.857	0.657	0.878	0.709
2024	Pucón	09115	La Araucanía	9	30508	0.564	0.201	0.534	117	MEDIO ALTO	0.58	ALTO	0.442	BAJO	0.581	ALTO	0.617	0.773	0.791	0.247
2024	Saavedra	09116	La Araucanía	9	12693	0.324	0.445	0.474	206	MEDIO BAJO	0.376	BAJO	0.578	ALTO	0.467	MEDIO BAJO	0.327	0.106	0.43	0.815
2024	Teodoro Schmidt	09117	La Araucanía	9	15759	0.358	0.259	NA	NA	NA	0.415	MEDIO BAJO	NA	NA	0.448	MEDIO BAJO	NA	0.256	0.369	NA
2024	Toltén	09118	La Araucanía	9	9966	0.444	0.267	0.397	285	BAJO	0.396	BAJO	0.541	MEDIO ALTO	0.255	BAJO	0.056	0.178	0.006	0.658
2024	Vilcún	09119	La Araucanía	9	32238	0.532	0.227	0.457	227	BAJO	0.443	MEDIO BAJO	0.461	MEDIO BAJO	0.467	MEDIO BAJO	0.25	0.343	0.43	0.317
2024	Villarrica	09120	La Araucanía	9	60327	0.563	0.157	0.567	57	ALTO	0.613	ALTO	0.458	MEDIO BAJO	0.629	ALTO	0.817	0.858	0.887	0.293
2024	Cholchol	09121	La Araucanía	9	12578	0.382	0.365	0.416	274	BAJO	0.38	BAJO	0.464	MEDIO BAJO	0.403	BAJO	0.095	0.115	0.175	0.333
2024	Angol	09201	La Araucanía	9	56644	0.625	0.196	0.584	34	ALTO	0.604	ALTO	0.549	MEDIO ALTO	0.599	ALTO	0.893	0.84	0.826	0.692
2024	Collipulli	09202	La Araucanía	9	26468	0.52	0.221	0.533	120	MEDIO ALTO	0.498	MEDIO ALTO	0.564	ALTO	0.538	MEDIO ALTO	0.61	0.532	0.674	0.76
2024	Curacautín	09203	La Araucanía	9	18210	0.547	0.189	0.472	209	MEDIO BAJO	0.518	MEDIO ALTO	0.44	BAJO	0.456	MEDIO BAJO	0.313	0.596	0.39	0.24
2024	Ercilla	09204	La Araucanía	9	8405	0.374	0.416	NA	NA	NA	0.448	MEDIO BAJO	NA	NA	0.44	MEDIO BAJO	NA	0.355	0.334	NA
2024	Lonquimay	09205	La Araucanía	9	11101	0.424	0.32	0.47	214	MEDIO BAJO	0.357	BAJO	0.603	ALTO	0.448	MEDIO BAJO	0.297	0.034	0.369	0.899
2024	Los Sauces	09206	La Araucanía	9	7484	0.493	0.255	0.502	161	MEDIO BAJO	0.486	MEDIO BAJO	0.594	ALTO	0.427	BAJO	0.47	0.477	0.25	0.877
2024	Lumaco	09207	La Araucanía	9	9947	0.441	0.341	0.4	282	BAJO	0.36	BAJO	0.438	BAJO	0.403	BAJO	0.066	0.046	0.175	0.23
2024	Purén	09208	La Araucanía	9	12118	0.49	0.309	0.459	223	MEDIO BAJO	0.487	MEDIO BAJO	0.486	MEDIO BAJO	0.403	BAJO	0.263	0.483	0.175	0.427
2024	Renaico	09209	La Araucanía	9	10964	0.55	0.166	0.418	271	BAJO	0.431	MEDIO BAJO	0.42	BAJO	0.403	BAJO	0.105	0.308	0.175	0.178
2024	Traiguén	09210	La Araucanía	9	19287	0.537	0.211	0.552	80	MEDIO ALTO	0.509	MEDIO ALTO	0.601	ALTO	0.546	MEDIO ALTO	0.74	0.561	0.692	0.893
2024	Victoria	09211	La Araucanía	9	35541	0.577	0.193	0.546	91	MEDIO ALTO	0.574	MEDIO ALTO	0.571	ALTO	0.493	MEDIO ALTO	0.713	0.747	0.529	0.782
2024	Puerto Montt	10101	Los Lagos	10	278255	0.652	0.155	0.594	24	ALTO	0.603	ALTO	0.482	MEDIO BAJO	0.698	ALTO	0.923	0.834	0.977	0.41
2024	Calbuco	10102	Los Lagos	10	37429	0.537	0.331	0.412	276	BAJO	0.46	MEDIO BAJO	0.34	BAJO	0.438	MEDIO BAJO	0.086	0.41	0.323	0.062
2024	Cochamó	10103	Los Lagos	10	3960	0.497	0.227	NA	NA	NA	0.403	BAJO	NA	NA	0.446	MEDIO BAJO	NA	0.21	0.346	NA
2024	Fresia	10104	Los Lagos	10	12593	0.497	0.286	0.431	263	BAJO	0.404	BAJO	0.46	MEDIO BAJO	0.43	MEDIO BAJO	0.128	0.213	0.282	0.31
2024	Frutillar	10105	Los Lagos	10	20678	0.592	0.203	0.453	232	BAJO	0.558	MEDIO ALTO	0.274	BAJO	0.528	MEDIO ALTO	0.23	0.706	0.645	0.02
2024	Los Muermos	10106	Los Lagos	10	17831	0.494	0.292	0.51	152	MEDIO BAJO	0.401	BAJO	0.589	ALTO	0.538	MEDIO ALTO	0.497	0.201	0.674	0.867
2024	Llanquihue	10107	Los Lagos	10	18811	0.635	0.18	0.48	192	MEDIO BAJO	0.547	MEDIO ALTO	0.412	BAJO	0.48	MEDIO BAJO	0.363	0.669	0.477	0.145
2024	Maullín	10108	Los Lagos	10	14775	0.495	0.302	0.479	193	MEDIO BAJO	0.41	BAJO	0.355	BAJO	0.671	ALTO	0.36	0.233	0.945	0.092
2024	Puerto Varas	10109	Los Lagos	10	50669	0.729	0.14	0.583	35	ALTO	0.631	ALTO	0.474	MEDIO BAJO	0.645	ALTO	0.887	0.901	0.907	0.38
2024	Castro	10201	Los Lagos	10	48482	0.618	0.182	0.46	220	MEDIO BAJO	0.55	MEDIO ALTO	0.359	BAJO	0.472	MEDIO BAJO	0.27	0.686	0.442	0.099
2024	Ancud	10202	Los Lagos	10	42516	0.586	0.23	0.538	107	MEDIO ALTO	0.486	MEDIO BAJO	0.511	MEDIO ALTO	0.618	ALTO	0.647	0.477	0.866	0.534
2024	Chonchi	10203	Los Lagos	10	16213	0.574	0.284	0.478	198	MEDIO BAJO	0.424	MEDIO BAJO	0.535	MEDIO ALTO	0.475	MEDIO BAJO	0.343	0.288	0.471	0.634
2024	Curaco de Vélez	10204	Los Lagos	10	4120	0.605	0.263	0.398	283	BAJO	0.382	BAJO	0.375	BAJO	0.438	MEDIO BAJO	0.062	0.129	0.323	0.109
2024	Dalcahue	10205	Los Lagos	10	15368	0.544	0.286	0.474	203	MEDIO BAJO	0.435	MEDIO BAJO	0.531	MEDIO ALTO	0.456	MEDIO BAJO	0.327	0.32	0.39	0.623
2024	Puqueldón	10206	Los Lagos	10	4191	0.494	0.242	NA	NA	NA	0.375	BAJO	NA	NA	0.485	MEDIO BAJO	NA	0.095	0.5	NA
2024	Queilén	10207	Los Lagos	10	5543	0.524	0.293	0.356	298	BAJO	0.431	MEDIO BAJO	0.446	MEDIO BAJO	0.191	BAJO	0.013	0.308	0.003	0.257
2024	Quellón	10208	Los Lagos	10	29942	0.544	0.299	0.456	228	BAJO	0.46	MEDIO BAJO	0.471	MEDIO BAJO	0.438	MEDIO BAJO	0.243	0.41	0.323	0.363
2024	Quemchi	10209	Los Lagos	10	8760	0.48	0.234	0.369	295	BAJO	0.399	BAJO	0.286	BAJO	0.422	BAJO	0.023	0.19	0.244	0.023
2024	Quinchao	10210	Los Lagos	10	8212	0.569	0.252	0.471	210	MEDIO BAJO	0.396	BAJO	0.542	MEDIO ALTO	0.475	MEDIO BAJO	0.303	0.178	0.471	0.664
2024	Osorno	10301	Los Lagos	10	175670	0.635	0.142	0.599	20	ALTO	0.621	ALTO	0.522	MEDIO ALTO	0.655	ALTO	0.937	0.878	0.922	0.582
2024	Puerto Octay	10302	Los Lagos	10	9089	0.512	0.307	0.391	290	BAJO	0.409	BAJO	0.398	BAJO	0.366	BAJO	0.039	0.227	0.08	0.128
2024	Purranque	10303	Los Lagos	10	20998	0.544	0.258	0.536	112	MEDIO ALTO	0.5	MEDIO ALTO	0.573	ALTO	0.536	MEDIO ALTO	0.63	0.538	0.654	0.799
2024	Puyehue	10304	Los Lagos	10	11813	0.539	0.239	0.511	147	MEDIO BAJO	0.451	MEDIO BAJO	0.626	ALTO	0.456	MEDIO BAJO	0.5	0.366	0.39	0.925
2024	Río Negro	10305	Los Lagos	10	14133	0.561	0.23	0.489	179	MEDIO BAJO	0.469	MEDIO BAJO	0.56	MEDIO ALTO	0.438	MEDIO BAJO	0.407	0.442	0.323	0.743
2024	San Juan de la Costa	10306	Los Lagos	10	7482	0.302	0.389	NA	NA	NA	0.343	BAJO	NA	NA	0.393	BAJO	NA	0.009	0.132	NA
2024	San Pablo	10307	Los Lagos	10	10543	0.568	0.255	0.36	297	BAJO	0.463	MEDIO BAJO	0.242	BAJO	0.374	BAJO	0.016	0.422	0.092	0.01
2024	Chaitén	10401	Los Lagos	10	5061	0.602	0.247	0.383	292	BAJO	0.46	MEDIO BAJO	0.322	BAJO	0.366	BAJO	0.033	0.41	0.08	0.049
2024	Futaleufú	10402	Los Lagos	10	2889	0.565	0.227	NA	NA	NA	0.589	ALTO	NA	NA	0.366	BAJO	NA	0.814	0.08	NA
2024	Hualaihue	10403	Los Lagos	10	9579	0.561	0.262	0.484	185	MEDIO BAJO	0.399	BAJO	0.604	ALTO	0.448	MEDIO BAJO	0.387	0.19	0.369	0.903
2024	Palena	10404	Los Lagos	10	1824	0.616	0.205	NA	NA	NA	0.546	MEDIO ALTO	NA	NA	0.411	BAJO	NA	0.663	0.207	NA
2024	Coyhaique	11101	Aysén del General Carlos Ibáñez del Campo	11	61885	0.7	0.14	0.531	124	MEDIO ALTO	0.586	ALTO	0.482	MEDIO BAJO	0.525	MEDIO ALTO	0.59	0.797	0.625	0.41
2024	Lago Verde	11102	Aysén del General Carlos Ibáñez del Campo	11	915	0.632	0.18	NA	NA	NA	0.499	MEDIO ALTO	NA	NA	0.403	BAJO	NA	0.535	0.175	NA
2024	Aisén	11201	Aysén del General Carlos Ibáñez del Campo	11	25180	0.658	0.128	0.563	62	ALTO	0.576	MEDIO ALTO	0.547	MEDIO ALTO	0.565	MEDIO ALTO	0.8	0.75	0.75	0.675
2024	Cisnes	11202	Aysén del General Carlos Ibáñez del Campo	11	5865	0.644	0.123	0.497	166	MEDIO BAJO	0.584	ALTO	0.541	MEDIO ALTO	0.366	BAJO	0.45	0.791	0.08	0.658
2024	Guaitecas	11203	Aysén del General Carlos Ibáñez del Campo	11	1608	0.527	0.222	NA	NA	NA	0.427	MEDIO BAJO	NA	NA	0.438	MEDIO BAJO	NA	0.299	0.323	NA
2024	Cochrane	11301	Aysén del General Carlos Ibáñez del Campo	11	3731	0.657	0.143	0.46	221	MEDIO BAJO	0.553	MEDIO ALTO	0.423	BAJO	0.403	BAJO	0.27	0.695	0.175	0.188
2024	O'Higgins	11302	Aysén del General Carlos Ibáñez del Campo	11	672	0.664	0.121	NA	NA	NA	0.549	MEDIO ALTO	NA	NA	0.403	BAJO	NA	0.683	0.175	NA
2024	Tortel	11303	Aysén del General Carlos Ibáñez del Campo	11	582	0.581	0.123	NA	NA	NA	0.367	BAJO	NA	NA	0.31	BAJO	NA	0.075	0.011	NA
2024	Chile Chico	11401	Aysén del General Carlos Ibáñez del Campo	11	5157	0.6	0.163	0.493	174	MEDIO BAJO	0.497	MEDIO ALTO	0.579	ALTO	0.403	BAJO	0.423	0.526	0.175	0.821
2024	Río Ibáñez	11402	Aysén del General Carlos Ibáñez del Campo	11	2711	0.536	0.188	NA	NA	NA	0.501	MEDIO ALTO	NA	NA	0.475	MEDIO BAJO	NA	0.547	0.471	NA
2024	Punta Arenas	12101	Magallanes y de la Antártica Chilena	12	144938	0.711	0.071	0.615	11	ALTO	0.648	ALTO	0.526	MEDIO ALTO	0.671	ALTO	0.967	0.924	0.945	0.599
2024	Laguna Blanca	12102	Magallanes y de la Antártica Chilena	12	252	0.733	0.004	NA	NA	NA	0.415	BAJO	NA	NA	0.411	BAJO	NA	0.25	0.207	NA
2024	Río Verde	12103	Magallanes y de la Antártica Chilena	12	205	NA	0.001	NA	NA	NA	0.342	BAJO	NA	NA	0.385	BAJO	NA	0.006	0.121	NA
2024	San Gregorio	12104	Magallanes y de la Antártica Chilena	12	658	0.637	0.094	NA	NA	NA	0.382	BAJO	NA	NA	0.459	MEDIO BAJO	NA	0.129	0.398	NA
2024	Cabo de Hornos	12201	Magallanes y de la Antártica Chilena	12	1973	0.791	0.016	NA	NA	NA	0.47	MEDIO BAJO	NA	NA	0.438	MEDIO BAJO	NA	0.445	0.323	NA
2024	Porvenir	12301	Magallanes y de la Antártica Chilena	12	7570	0.734	0.124	0.538	108	MEDIO ALTO	0.585	ALTO	0.537	MEDIO ALTO	0.493	MEDIO ALTO	0.647	0.794	0.529	0.637
2024	Primavera	12302	Magallanes y de la Antártica Chilena	12	679	0.743	0.08	NA	NA	NA	0.373	BAJO	NA	NA	0.366	BAJO	NA	0.078	0.08	NA
2024	Timaukel	12303	Magallanes y de la Antártica Chilena	12	278	NA	0.034	NA	NA	NA	0.437	MEDIO BAJO	NA	NA	0.385	BAJO	NA	0.326	0.121	NA
2024	Natales	12401	Magallanes y de la Antártica Chilena	12	24447	0.65	0.046	0.527	129	MEDIO ALTO	0.672	ALTO	0.388	BAJO	0.52	MEDIO ALTO	0.573	0.951	0.619	0.122
2024	Torres del Paine	12402	Magallanes y de la Antártica Chilena	12	1069	NA	0.033	NA	NA	NA	0.417	MEDIO BAJO	NA	NA	0.501	MEDIO ALTO	NA	0.262	0.552	NA
2024	Santiago	13101	Metropolitana de Santiago	13	536089	0.662	0.165	0.56	66	ALTO	0.656	ALTO	0.417	BAJO	0.607	ALTO	0.783	0.936	0.834	0.164
2024	Cerrillos	13102	Metropolitana de Santiago	13	90060	0.633	0.226	0.538	109	MEDIO ALTO	0.608	ALTO	0.453	MEDIO BAJO	0.554	MEDIO ALTO	0.647	0.849	0.735	0.28
2024	Cerro Navia	13103	Metropolitana de Santiago	13	140581	0.521	0.23	0.546	87	MEDIO ALTO	0.552	MEDIO ALTO	0.513	MEDIO ALTO	0.573	ALTO	0.713	0.692	0.776	0.548
2024	Conchalí	13104	Metropolitana de Santiago	13	137678	0.587	0.187	0.51	153	MEDIO BAJO	0.582	ALTO	0.44	BAJO	0.507	MEDIO ALTO	0.497	0.785	0.561	0.24
2024	El Bosque	13105	Metropolitana de Santiago	13	170536	0.572	0.175	0.56	67	ALTO	0.582	ALTO	0.481	MEDIO BAJO	0.615	ALTO	0.783	0.785	0.858	0.397
2024	Estación Central	13106	Metropolitana de Santiago	13	219897	0.594	0.228	0.544	94	MEDIO ALTO	0.604	ALTO	0.474	MEDIO BAJO	0.554	MEDIO ALTO	0.69	0.84	0.735	0.38
2024	Huechuraba	13107	Metropolitana de Santiago	13	117121	0.75	0.186	0.571	51	ALTO	0.574	MEDIO ALTO	0.581	ALTO	0.557	MEDIO ALTO	0.833	0.747	0.741	0.834
2024	Independencia	13108	Metropolitana de Santiago	13	151890	0.576	0.224	0.558	71	ALTO	0.581	ALTO	0.539	MEDIO ALTO	0.554	MEDIO ALTO	0.767	0.779	0.735	0.647
2024	La Cisterna	13109	Metropolitana de Santiago	13	101377	0.66	0.135	0.555	77	MEDIO ALTO	0.698	ALTO	0.438	BAJO	0.528	MEDIO ALTO	0.747	0.965	0.645	0.23
2024	La Florida	13110	Metropolitana de Santiago	13	406796	0.701	0.132	0.56	68	ALTO	0.648	ALTO	0.415	BAJO	0.615	ALTO	0.783	0.924	0.858	0.151
2024	La Granja	13111	Metropolitana de Santiago	13	120249	0.568	0.223	0.585	32	ALTO	0.572	MEDIO ALTO	0.591	ALTO	0.592	ALTO	0.897	0.733	0.808	0.87
2024	La Pintana	13112	Metropolitana de Santiago	13	189151	0.498	0.27	0.513	142	MEDIO ALTO	0.437	MEDIO BAJO	0.551	MEDIO ALTO	0.552	MEDIO ALTO	0.53	0.326	0.701	0.699
2024	La Reina	13113	Metropolitana de Santiago	13	99686	0.862	0.049	0.614	13	ALTO	0.648	ALTO	0.426	BAJO	0.769	ALTO	0.96	0.924	0.997	0.194
2024	Las Condes	13114	Metropolitana de Santiago	13	341183	0.936	0.044	0.69	1	ALTO	0.708	ALTO	0.574	ALTO	0.788	ALTO	1	0.977	1	0.808
2024	Lo Barnechea	13115	Metropolitana de Santiago	13	129790	0.909	0.109	0.59	29	ALTO	0.573	MEDIO ALTO	0.582	ALTO	0.615	ALTO	0.907	0.738	0.858	0.841
2024	Lo Espejo	13116	Metropolitana de Santiago	13	101615	0.5	0.288	0.54	103	MEDIO ALTO	0.501	MEDIO ALTO	0.549	MEDIO ALTO	0.57	ALTO	0.66	0.547	0.756	0.692
2024	Lo Prado	13117	Metropolitana de Santiago	13	102923	0.58	0.193	0.484	186	MEDIO BAJO	0.571	MEDIO ALTO	0.352	BAJO	0.528	MEDIO ALTO	0.387	0.727	0.645	0.086
2024	Macul	13118	Metropolitana de Santiago	13	137735	0.732	0.134	0.559	69	ALTO	0.67	ALTO	0.469	MEDIO BAJO	0.538	MEDIO ALTO	0.773	0.948	0.674	0.357
2024	Maipú	13119	Metropolitana de Santiago	13	586337	0.7	0.148	0.548	83	MEDIO ALTO	0.617	ALTO	0.402	BAJO	0.626	ALTO	0.727	0.869	0.878	0.135
